id_barrio;nom_barrio
 0000;S/D                                               
 0001;Ciudad Vieja                                      
 0002;Centro                                            
 0003;Barrio Sur                                        
 0004;Cordon                                            
 0005;Palermo                                           
 0006;Parque Rodo                                       
 0007;Punta Carretas                                    
 0008;Pocitos                                           
 0009;Buceo                                             
 0010;Pque. Batlle, V. Dolores                          
 0011;Malvin                                            
 0012;Malvin Norte                                      
 0013;Punta Gorda                                       
 0014;Carrasco                                          
 0015;Carrasco Norte                                    
 0016;Bañados de Carrasco                               
 0017;Maroñas, Parque Guarani                           
 0018;Flor de Maroñas                                   
 0019;Las Canteras                                      
 0020;Pta. Rieles, Bella Italia                         
 0021;Jardines del Hipodromo                            
 0022;Ituzaingo                                         
 0023;Union                                             
 0024;Villa Española                                    
 0025;Mercado Modelo, Bolivar                           
 0026;Castro, P. Castellanos                            
 0027;Cerrito                                           
 0028;Las Acacias                                       
 0029;Aires Puros                                       
 0030;Casavalle                                         
 0031;Piedras Blancas                                   
 0032;Manga, Toledo Chico                               
 0033;Paso de las Duranas                               
 0034;Peñarol, Lavalleja                                
 0035;Cerro                                             
 0036;Casabo, Pajas Blancas                             
 0037;La Paloma, Tomkinson                              
 0038;La Teja                                           
 0039;Prado, Nueva Savona                               
 0040;Capurro, Bella Vista                              
 0041;Aguada                                            
 0042;Reducto                                           
 0043;Atahualpa                                         
 0044;Jacinto Vera                                      
 0045;La Figurita                                       
 0046;Larrañaga                                         
 0047;La Blanqueada                                     
 0048;Villa Muñoz, Retiro                               
 0049;La Comercial                                      
 0050;Tres Cruces                                       
 0051;Brazo Oriental                                    
 0052;Sayago                                            
 0053;Conciliacion                                      
 0054;Belvedere                                         
 0055;Nuevo Paris                                       
 0056;Tres Ombues, Victoria                             
 0057;Paso de la Arena                                  
 0058;Colon Sureste, Abayuba                            
 0059;Colon Centro y Noroeste                           
 0060;Lezica, Melilla                                   
 0061;Villa Garcia, Manga Rur.                          
 0062;Manga                                             
